index,kind,status,worker_id,elapsed_s,error
141,small,200,groq_worker_1_4,146.64,
142,large,200,groq_worker_2_2,84.95,
143,large,200,groq_worker_1_3,2.23,
144,small,200,worker_1_1,68.8,
145,large,200,groq_worker_1_3,45.11,
146,small,200,worker_2_1,231.97,
147,small,200,groq_worker_1_2,192.97,
148,small,200,groq_worker_1_4,37.06,
149,small,200,groq_worker_2_2,76.0,
150,large,200,groq_worker_1_3,102.25,
151,small,200,worker_1_1,82.36,
152,small,200,groq_worker_2_2,28.39,
153,large,200,groq_worker_2_3,121.05,
154,small,200,groq_worker_1_2,113.56,
155,small,200,worker_2_1,96.76,
156,small,,,240.92,timeout after 240.9s: ReadTimeout
157,large,,,240.94,timeout after 240.9s: ReadTimeout
158,small,200,groq_worker_1_3,43.03,
159,small,200,groq_worker_1_2,43.06,
160,large,200,groq_worker_1_4,128.8,
161,small,200,worker_1_1,203.53,
162,small,200,groq_worker_2_3,67.19,
163,small,200,worker_1_1,207.8,
164,small,200,groq_worker_2_3,239.59,
165,small,200,groq_worker_2_4,212.84,
166,small,200,groq_worker_2_2,30.52,
167,small,200,groq_worker_2_2,75.86,
168,large,200,groq_worker_2_4,206.53,
169,small,200,groq_worker_2_4,5.12,
170,large,200,groq_worker_1_4,131.02,
171,small,200,groq_worker_1_3,83.19,
172,small,200,groq_worker_1_4,2.25,
173,large,200,groq_worker_2_4,208.69,
174,large,200,groq_worker_1_4,184.14,
175,large,200,groq_worker_1_2,106.74,
176,small,200,groq_worker_2_2,217.34,
177,small,200,worker_1_1,85.64,
178,large,200,groq_worker_2_4,2.25,
179,small,200,groq_worker_2_3,2.24,
180,small,200,worker_1_1,37.56,
181,small,200,groq_worker_2_2,32.58,
182,small,200,groq_worker_1_2,2.27,
183,small,200,worker_2_1,112.83,
184,small,200,groq_worker_2_3,37.81,
185,small,200,groq_worker_2_2,78.19,
186,small,200,groq_worker_2_3,142.33,
187,large,200,groq_worker_1_4,94.99,
188,large,200,groq_worker_1_3,184.56,
189,small,200,worker_1_1,104.91,
190,large,200,groq_worker_2_3,73.95,
191,small,200,worker_2_1,62.52,
192,small,200,groq_worker_1_4,57.89,
193,small,200,groq_worker_1_4,28.69,
194,small,200,groq_worker_2_2,80.44,
195,small,200,worker_2_1,124.33,
196,small,200,worker_1_1,158.5,
197,small,200,groq_worker_1_4,30.75,
198,small,200,groq_worker_2_2,87.16,
199,small,200,groq_worker_2_2,68.17,
200,large,200,groq_worker_2_3,88.62,
201,small,200,groq_worker_1_4,45.52,
202,large,200,groq_worker_1_2,45.17,
203,large,200,groq_worker_2_2,173.31,
204,small,200,groq_worker_1_3,5.19,
205,small,200,groq_worker_1_2,70.92,
206,small,200,groq_worker_2_4,159.45,
207,small,200,groq_worker_2_4,161.66,
208,small,200,groq_worker_2_4,46.78,
209,small,200,groq_worker_1_4,32.81,
210,small,200,groq_worker_2_4,206.33,
211,small,200,worker_1_1,196.5,
212,small,200,groq_worker_1_2,83.24,
213,small,,,240.92,timeout after 240.9s: ReadTimeout
214,small,200,worker_1_1,187.09,
215,large,200,groq_worker_1_3,113.53,
216,small,200,groq_worker_1_3,222.81,
217,small,200,groq_worker_1_3,182.19,
218,large,,,240.92,timeout after 240.9s: ReadTimeout
219,small,200,groq_worker_1_3,106.74,
220,small,200,groq_worker_1_3,5.02,
221,small,200,groq_worker_1_2,2.75,
222,small,200,groq_worker_2_3,20.09,
223,small,200,groq_worker_2_4,239.14,
224,large,200,groq_worker_1_4,4.99,
225,small,200,worker_1_1,26.88,
226,large,200,groq_worker_2_2,208.97,
227,small,200,worker_1_1,146.97,
228,small,200,groq_worker_2_2,91.56,
229,large,200,groq_worker_1_4,186.38,
230,large,200,groq_worker_2_2,2.19,
231,small,200,groq_worker_2_4,2.11,
232,small,200,groq_worker_2_2,141.02,
233,large,200,groq_worker_1_3,179.81,
234,small,200,worker_2_1,210.2,
235,large,200,groq_worker_2_2,147.7,
236,small,200,groq_worker_2_2,65.97,
237,small,200,groq_worker_2_3,64.94,
238,large,200,groq_worker_2_4,63.67,
239,large,200,groq_worker_2_3,174.77,
240,small,200,groq_worker_1_3,2.61,
241,small,200,groq_worker_2_4,80.16,
242,small,200,groq_worker_2_2,82.74,
243,large,,,240.92,timeout after 240.9s: ReadTimeout
244,small,200,groq_worker_2_4,77.91,
245,small,200,worker_2_1,149.2,
246,small,200,groq_worker_1_2,5.2,
247,small,200,groq_worker_2_3,144.56,
248,large,200,groq_worker_1_3,70.89,
249,large,200,groq_worker_1_3,2.06,
250,large,200,groq_worker_1_2,229.5,
251,small,200,groq_worker_1_3,2.72,
252,small,200,groq_worker_2_4,1.92,
253,small,200,groq_worker_1_4,2.62,
254,small,200,groq_worker_2_4,2.53,
255,small,200,groq_worker_1_3,1.94,
256,large,200,groq_worker_2_3,163.41,
257,small,200,groq_worker_2_2,40.88,
258,small,200,groq_worker_1_4,2.81,
259,small,200,groq_worker_2_4,23.77,
260,small,200,worker_2_1,145.27,
261,small,200,worker_2_1,157.41,
262,small,200,groq_worker_1_2,218.03,
263,small,200,groq_worker_1_4,222.28,
264,small,200,groq_worker_2_3,2.8,
265,large,,,240.91,timeout after 240.9s: ReadTimeout
266,small,200,groq_worker_1_4,64.62,
267,large,200,groq_worker_1_3,195.8,
268,large,200,groq_worker_2_2,239.31,
269,small,200,groq_worker_1_4,5.14,
270,small,200,groq_worker_2_3,15.31,
271,small,200,groq_worker_2_2,2.77,
272,small,200,groq_worker_1_3,26.06,
273,small,200,groq_worker_1_2,2.61,
274,large,200,groq_worker_2_4,2.84,
275,large,200,groq_worker_1_4,77.03,
276,small,200,groq_worker_1_2,1.91,
277,large,200,groq_worker_2_2,178.83,
278,small,200,groq_worker_1_4,2.03,
279,small,200,worker_2_1,132.55,
280,large,200,groq_worker_2_2,228.64,
281,small,200,groq_worker_2_4,42.66,
282,large,200,groq_worker_1_4,1.91,
283,large,200,groq_worker_2_3,161.14,
284,large,200,groq_worker_2_3,1.97,
285,small,200,groq_worker_2_3,172.51,
286,large,200,groq_worker_1_4,229.48,
287,small,200,groq_worker_1_2,80.97,
288,small,200,worker_2_1,93.28,
289,small,200,groq_worker_1_4,217.95,
290,large,200,groq_worker_2_2,178.66,
291,small,200,groq_worker_2_3,208.11,
292,small,200,groq_worker_1_2,6.3,
293,small,200,groq_worker_1_2,222.25,
294,small,200,worker_2_1,194.38,
295,small,200,worker_2_1,177.33,
296,small,200,groq_worker_2_4,2.66,
297,small,200,groq_worker_1_2,209.56,
298,small,200,worker_1_1,109.39,
299,small,200,groq_worker_1_4,209.58,
300,small,200,groq_worker_2_2,2.44,
301,small,200,worker_1_1,154.61,
302,small,200,groq_worker_2_2,117.39,
303,small,200,groq_worker_1_4,2.94,
304,small,200,groq_worker_1_3,132.41,
305,small,200,groq_worker_2_4,21.67,
306,small,200,groq_worker_1_2,2.88,
307,large,200,groq_worker_2_3,2.94,
308,large,200,groq_worker_1_2,26.23,
309,small,200,worker_2_1,221.72,
310,large,200,groq_worker_1_3,191.3,
311,large,200,groq_worker_2_2,1.89,
312,small,200,groq_worker_2_4,32.16,
313,small,200,groq_worker_1_3,8.42,
314,small,200,groq_worker_1_4,120.94,
315,small,200,groq_worker_2_2,168.81,
316,small,200,groq_worker_2_3,1.86,
317,small,200,groq_worker_2_3,84.02,
318,small,200,groq_worker_2_4,30.09,
319,small,200,groq_worker_1_2,21.97,
320,small,,,240.88,timeout after 240.9s: ReadTimeout
321,large,200,groq_worker_1_2,61.88,
322,small,200,groq_worker_2_4,34.22,
323,small,200,groq_worker_2_2,2.0,
324,small,200,worker_2_1,35.09,
325,large,200,groq_worker_2_3,156.72,
326,small,200,groq_worker_1_3,80.95,
327,small,200,groq_worker_1_3,92.16,
328,small,200,groq_worker_2_4,19.45,
329,small,,,240.88,timeout after 240.9s: ReadTimeout
330,small,200,worker_1_1,189.92,
331,large,,,240.88,timeout after 240.9s: ReadTimeout
332,small,200,worker_1_1,183.66,
333,large,200,groq_worker_2_3,156.59,
334,large,200,groq_worker_1_2,92.19,
335,small,200,groq_worker_2_3,62.67,
336,large,200,groq_worker_2_3,210.19,
337,large,200,groq_worker_2_2,112.83,
338,large,200,groq_worker_2_2,232.94,
339,small,200,groq_worker_1_4,199.7,
340,small,200,groq_worker_1_3,236.56,
341,large,200,groq_worker_2_2,2.91,
342,small,200,worker_1_1,134.45,
343,small,200,worker_1_1,93.61,
344,large,200,groq_worker_2_3,222.77,
345,small,200,groq_worker_1_4,154.12,
346,small,200,groq_worker_2_2,119.61,
347,small,200,worker_2_1,114.03,
348,small,200,groq_worker_1_3,2.81,
349,small,200,groq_worker_2_3,6.36,
350,small,200,groq_worker_1_3,6.2,
351,small,200,groq_worker_1_2,115.8,
352,small,200,groq_worker_1_3,115.69,
353,small,200,groq_worker_2_2,129.61,
354,large,200,groq_worker_2_4,38.47,
355,small,200,worker_2_1,223.91,
356,large,200,groq_worker_1_2,158.3,
357,small,200,groq_worker_1_4,137.66,
358,small,200,groq_worker_1_4,154.25,
359,small,200,groq_worker_1_4,6.22,
360,small,200,worker_1_1,118.89,
361,large,200,groq_worker_1_4,66.8,
362,large,200,groq_worker_1_4,123.16,
363,large,200,groq_worker_2_2,6.31,
364,small,200,worker_1_1,216.53,
365,small,200,worker_2_1,240.11,
366,small,200,groq_worker_2_2,6.25,
367,small,200,groq_worker_2_3,6.28,
368,small,200,groq_worker_2_3,6.33,
369,large,200,groq_worker_2_3,186.99,
370,large,200,groq_worker_1_4,233.92,
371,small,200,groq_worker_1_4,205.3,
372,large,200,groq_worker_2_2,230.83,
373,large,200,groq_worker_2_3,2.39,
374,large,200,groq_worker_1_2,188.44,
375,large,200,groq_worker_2_4,77.73,
376,small,200,worker_2_1,105.81,
377,small,200,groq_worker_2_4,116.84,
378,large,200,groq_worker_1_2,130.08,
379,large,200,groq_worker_1_4,236.0,
380,small,200,worker_2_1,153.23,
381,small,200,groq_worker_1_3,127.95,
382,small,200,groq_worker_2_4,114.61,
383,small,200,worker_1_1,57.22,
384,small,200,groq_worker_1_3,61.84,
385,small,200,groq_worker_2_4,5.19,
386,small,200,groq_worker_1_4,5.22,
387,small,200,groq_worker_2_3,158.91,
388,small,200,groq_worker_1_4,158.66,
389,small,200,worker_1_1,31.38,
390,small,200,worker_1_1,233.27,
391,small,200,groq_worker_1_2,127.77,
392,large,200,groq_worker_1_3,234.28,
393,small,200,groq_worker_2_4,194.27,
394,small,,,240.86,timeout after 240.9s: ReadTimeout
395,small,200,worker_2_1,190.62,
396,small,200,groq_worker_1_3,120.12,
397,small,200,groq_worker_2_3,13.03,
398,small,200,groq_worker_1_4,3.8,
399,small,200,groq_worker_1_3,130.16,
400,small,200,groq_worker_2_4,110.06,
401,small,200,groq_worker_1_3,3.61,
402,small,200,groq_worker_2_3,2.55,
403,large,200,groq_worker_2_4,230.41,
404,large,200,groq_worker_1_2,76.34,
405,small,200,groq_worker_2_4,4.44,
406,large,200,groq_worker_2_4,2.38,
407,large,200,groq_worker_1_2,205.09,
408,small,200,worker_2_1,54.52,
409,small,200,groq_worker_1_3,2.39,
410,small,200,groq_worker_1_4,144.34,
411,small,200,groq_worker_1_2,190.69,
412,small,200,groq_worker_2_3,4.38,
413,large,200,groq_worker_1_4,3.47,
414,small,200,groq_worker_2_2,8.39,
415,large,200,groq_worker_1_3,210.16,
416,large,200,groq_worker_1_3,122.36,
417,small,200,worker_2_1,227.94,
418,large,200,groq_worker_1_2,122.48,
419,large,200,groq_worker_1_2,179.47,
420,small,200,worker_1_1,200.5,
421,small,200,groq_worker_2_4,10.34,
422,small,200,worker_1_1,22.62,
423,small,200,worker_1_1,92.84,
424,small,200,groq_worker_2_4,140.36,
425,large,200,groq_worker_1_2,213.69,
426,small,200,groq_worker_1_2,181.69,
427,small,200,groq_worker_1_2,3.23,
428,small,200,worker_2_1,80.16,
429,small,200,groq_worker_2_4,3.45,
430,large,200,groq_worker_2_4,121.28,
431,small,200,worker_1_1,114.81,
432,large,200,groq_worker_2_4,216.91,
433,large,200,groq_worker_1_3,162.84,
434,small,200,worker_1_1,228.84,
435,small,200,groq_worker_2_4,61.34,
436,large,200,groq_worker_2_3,146.7,
437,small,200,groq_worker_2_4,36.38,
438,small,200,groq_worker_2_4,68.01,
439,small,,,240.86,timeout after 240.9s: ReadTimeout
440,small,200,groq_worker_1_4,5.89,
441,small,200,groq_worker_1_2,5.91,
442,small,200,groq_worker_1_4,211.62,
443,small,200,groq_worker_1_4,5.38,
444,small,200,groq_worker_2_2,189.94,
445,small,200,worker_2_1,214.16,
446,small,,,240.84,timeout after 240.8s: ReadTimeout
447,large,,,240.84,timeout after 240.8s: ReadTimeout
448,small,200,worker_1_1,71.0,
449,small,200,groq_worker_2_3,3.94,
450,small,200,worker_1_1,44.58,
451,large,200,groq_worker_2_4,112.36,
452,small,200,worker_1_1,224.97,
453,small,200,groq_worker_2_4,147.14,
454,small,200,groq_worker_2_4,86.69,
455,small,200,groq_worker_2_4,119.08,
456,small,200,groq_worker_2_4,65.78,
457,small,200,groq_worker_2_3,212.2,
458,small,200,groq_worker_1_2,231.7,
459,small,200,groq_worker_1_3,141.64,
460,large,200,groq_worker_1_3,59.56,
461,small,200,groq_worker_2_3,29.33,
462,small,200,groq_worker_1_4,2.41,
463,small,200,groq_worker_1_2,59.58,
464,small,200,groq_worker_2_3,105.26,
465,small,200,groq_worker_2_4,14.86,
466,large,200,groq_worker_1_2,24.05,
467,large,200,groq_worker_2_3,10.78,
468,small,200,groq_worker_1_3,134.56,
469,small,200,groq_worker_1_4,8.39,
470,small,200,worker_2_1,186.28,
471,small,200,groq_worker_2_3,31.5,
472,small,200,worker_2_1,103.0,
473,small,200,worker_2_1,101.28,
474,large,,,240.86,timeout after 240.9s: ReadTimeout
475,large,,,240.86,timeout after 240.9s: ReadTimeout
476,small,200,groq_worker_2_4,128.91,
477,small,200,groq_worker_1_3,5.98,
478,small,200,groq_worker_2_4,131.25,
479,small,200,worker_1_1,237.12,
480,small,200,worker_1_1,221.03,
481,small,200,groq_worker_2_2,211.0,
482,large,200,groq_worker_1_2,76.44,
483,small,,,240.83,timeout after 240.8s: ReadTimeout
484,small,200,groq_worker_2_2,185.52,
485,small,200,groq_worker_1_2,2.38,
486,small,200,groq_worker_1_3,76.31,
487,small,200,groq_worker_2_3,237.42,
488,large,200,groq_worker_1_3,68.53,
489,small,200,groq_worker_1_2,68.52,
490,small,200,worker_2_1,89.38,
491,large,200,groq_worker_2_3,105.39,
492,small,200,groq_worker_2_4,52.34,
493,small,200,groq_worker_1_4,160.84,
494,large,200,groq_worker_2_2,161.97,
495,small,200,groq_worker_2_3,3.8,
496,small,200,worker_2_1,164.06,
497,small,200,groq_worker_2_3,107.61,
498,large,200,groq_worker_1_2,5.3,
499,large,200,groq_worker_2_3,198.17,
500,small,200,groq_worker_1_2,127.84,
501,large,200,groq_worker_1_3,216.45,
502,small,200,groq_worker_2_4,52.2,
503,large,200,groq_worker_2_2,3.94,
504,small,200,groq_worker_2_4,175.08,
505,small,200,groq_worker_2_3,99.8,
506,large,200,groq_worker_1_2,120.22,
507,small,200,worker_1_1,101.09,
508,large,200,groq_worker_2_4,54.56,
509,large,200,groq_worker_1_2,224.31,
510,small,200,groq_worker_2_3,5.47,
511,small,200,groq_worker_2_4,221.03,
512,large,200,groq_worker_2_3,5.33,
513,large,200,groq_worker_2_2,3.05,
514,small,200,groq_worker_2_2,5.44,
515,large,200,groq_worker_1_3,127.75,
516,small,200,groq_worker_2_4,8.14,
517,small,200,worker_1_1,97.41,
518,large,200,groq_worker_1_4,139.84,
519,large,200,groq_worker_2_4,59.06,
520,small,200,groq_worker_1_3,205.95,
521,small,200,groq_worker_2_2,213.06,
522,large,200,groq_worker_1_3,167.34,
523,small,200,groq_worker_2_3,4.06,
524,small,200,groq_worker_2_2,89.27,
525,small,200,groq_worker_1_4,39.06,
526,large,,,240.83,timeout after 240.8s: ReadTimeout
527,small,200,groq_worker_1_4,10.61,
528,small,,,240.84,timeout after 240.8s: ReadTimeout
529,small,200,groq_worker_1_3,2.95,
530,large,200,groq_worker_1_4,238.08,
531,small,200,groq_worker_2_3,167.99,
532,large,200,groq_worker_1_3,179.89,
533,small,200,worker_2_1,88.03,
534,large,200,groq_worker_1_2,211.61,
535,small,200,groq_worker_2_4,6.12,
536,small,200,groq_worker_1_2,237.92,
537,small,200,groq_worker_1_3,4.25,
538,small,200,worker_2_1,208.25,
539,large,200,groq_worker_2_3,3.62,
540,small,200,groq_worker_1_2,8.36,
541,large,200,groq_worker_1_3,10.58,
542,small,200,worker_1_1,193.89,
543,large,200,groq_worker_2_3,216.45,
544,large,200,groq_worker_1_4,4.28,
545,large,200,groq_worker_2_4,210.64,
546,large,200,groq_worker_1_4,224.28,
547,large,200,groq_worker_1_2,4.23,
548,small,200,groq_worker_2_3,3.05,
549,small,200,groq_worker_2_3,214.3,
550,small,200,groq_worker_2_2,136.42,
551,large,200,groq_worker_1_4,3.06,
552,small,200,groq_worker_2_3,151.14,
553,small,200,worker_1_1,62.98,
554,large,200,groq_worker_2_2,4.45,
555,small,200,groq_worker_1_4,197.41,
556,small,,,240.81,timeout after 240.8s: ReadTimeout
557,small,200,groq_worker_1_4,135.36,
558,large,,,240.83,timeout after 240.8s: ReadTimeout
559,small,200,worker_2_1,98.75,
560,small,200,groq_worker_1_3,165.08,
561,small,200,groq_worker_2_4,138.06,
562,small,200,groq_worker_2_3,39.78,
563,large,200,groq_worker_2_4,3.76,
564,large,200,groq_worker_2_4,17.11,
565,small,200,groq_worker_1_4,60.01,
566,small,200,worker_1_1,160.26,
567,small,200,groq_worker_1_4,68.97,
568,large,200,groq_worker_1_4,240.2,
569,small,200,worker_1_1,145.92,
570,small,200,worker_1_1,50.12,
571,small,200,worker_1_1,230.67,
572,small,200,groq_worker_2_4,84.45,
573,small,200,worker_1_1,87.47,
574,small,200,worker_1_1,130.47,
575,small,200,groq_worker_2_3,4.47,
576,large,200,groq_worker_1_3,5.25,
577,small,200,groq_worker_2_2,36.62,
578,small,200,worker_1_1,105.91,
579,large,200,groq_worker_2_4,223.11,
580,small,200,groq_worker_2_4,154.72,
581,small,200,groq_worker_2_2,44.97,
582,small,200,groq_worker_2_4,200.91,
583,large,200,groq_worker_1_2,4.38,
584,large,200,groq_worker_1_2,164.98,
585,small,,,240.83,timeout after 240.8s: ReadTimeout
586,small,200,groq_worker_1_4,4.42,
587,large,200,groq_worker_2_4,5.92,
588,large,200,groq_worker_1_2,3.7,
589,small,200,worker_2_1,198.33,
590,small,200,groq_worker_2_4,142.55,
591,small,200,groq_worker_1_2,171.7,
592,large,200,groq_worker_1_4,107.49,
593,small,200,groq_worker_1_3,171.92,
594,small,200,groq_worker_1_3,3.74,
595,small,200,worker_2_1,219.59,
596,small,200,groq_worker_2_2,6.03,
597,large,200,groq_worker_2_4,128.74,
598,small,200,groq_worker_2_3,29.39,
599,large,200,groq_worker_2_2,42.81,
600,small,200,worker_2_1,160.16,
601,large,200,groq_worker_1_2,233.75,
602,small,200,groq_worker_2_3,5.97,
603,large,200,groq_worker_1_3,224.77,
604,large,200,groq_worker_2_3,148.89,
605,small,200,worker_1_1,238.64,
606,small,200,worker_1_1,209.8,
607,small,200,worker_2_1,118.11,
608,large,200,groq_worker_1_3,36.59,
609,large,200,groq_worker_2_3,220.61,
610,large,200,groq_worker_1_4,81.42,
611,small,200,groq_worker_2_2,12.84,
612,small,200,groq_worker_2_3,123.12,
613,small,200,groq_worker_1_2,136.78,
614,large,200,groq_worker_1_3,78.64,
615,small,200,worker_2_1,215.05,
616,small,200,groq_worker_1_2,78.64,
617,small,200,groq_worker_1_3,76.42,
618,small,200,groq_worker_2_2,127.31,
619,large,200,groq_worker_2_3,193.69,
620,small,200,groq_worker_1_3,220.55,
621,large,200,groq_worker_2_4,103.22,
622,small,200,groq_worker_1_2,207.34,
623,large,200,groq_worker_2_4,103.34,
624,small,200,groq_worker_1_2,36.61,
625,small,200,groq_worker_2_2,131.92,
626,small,200,groq_worker_1_2,148.22,
627,small,200,groq_worker_2_4,135.83,
628,small,200,groq_worker_1_3,5.38,
629,small,200,groq_worker_2_2,106.06,
630,small,200,worker_1_1,150.78,
631,small,200,groq_worker_1_3,160.49,
632,small,200,groq_worker_1_4,207.34,
633,large,200,groq_worker_1_4,76.61,
634,small,,,240.81,timeout after 240.8s: ReadTimeout
635,small,200,worker_2_1,84.03,
636,large,200,groq_worker_2_4,5.36,
637,small,200,groq_worker_2_2,63.59,
638,small,200,groq_worker_1_4,116.36,
639,small,200,groq_worker_1_3,4.06,
640,large,200,groq_worker_2_3,5.78,
641,small,200,groq_worker_2_2,95.97,
642,small,200,groq_worker_1_2,30.42,
643,small,200,groq_worker_2_3,202.66,
644,small,,,240.8,timeout after 240.8s: ReadTimeout
645,small,200,groq_worker_1_2,183.83,
646,small,200,groq_worker_1_4,171.86,
647,small,200,groq_worker_1_4,79.12,
648,small,200,groq_worker_2_4,44.56,
649,large,200,groq_worker_2_2,228.66,
650,small,200,groq_worker_2_2,145.3,
651,small,,,240.84,timeout after 240.8s: ReadTimeout
652,large,200,groq_worker_1_2,199.61,
653,small,200,groq_worker_1_2,169.47,
654,large,200,groq_worker_1_3,21.73,
655,small,200,worker_2_1,29.16,
656,small,200,groq_worker_1_3,197.95,
657,large,200,groq_worker_1_4,41.12,
658,small,200,groq_worker_1_3,169.59,
659,large,200,groq_worker_2_2,219.31,
660,small,200,groq_worker_1_2,52.7,
661,small,200,groq_worker_2_2,138.62,
662,small,200,groq_worker_2_2,54.72,
663,small,200,groq_worker_2_3,69.36,
664,large,200,groq_worker_2_4,166.09,
665,large,200,groq_worker_1_4,97.12,
666,small,200,groq_worker_2_3,97.48,
667,small,200,groq_worker_2_3,95.28,
